Chromosome	Length	Total Variants	VarPerKb	SNP	INDEL	Ts	Tv	Ts/Tv
JAMYGW020000001.1	4079479	132366	32.45	66183	0	47981	18202	2.64
JAMYGW020000002.1	3666439	113260	30.89	56630	0	41586	15044	2.76
JAMYGW020000003.1	3171977	101158	31.89	50579	0	37658	12921	2.91
JAMYGW020000004.1	2601389	83566	32.12	41783	0	30398	11385	2.67
JAMYGW020000005.1	2402664	75088	31.25	37544	0	27487	10057	2.73
JAMYGW020000006.1	2032088	70534	34.71	35267	0	25372	9895	2.56
JAMYGW020000007.1	1976889	70372	35.60	35186	0	25205	9981	2.53
JAMYGW020000008.1	1932263	71210	36.85	35605	0	26145	9460	2.76
JAMYGW020000009.1	1669080	57566	34.49	28783	0	20757	8026	2.59
JAMYGW020000010.1	1646134	60252	36.60	30126	0	21779	8347	2.61
JAMYGW020000011.1	1570817	60972	38.82	30486	0	22090	8396	2.63
JAMYGW020000012.1	1437752	52260	36.35	26130	0	18761	7369	2.55
JAMYGW020000013.1	978195	37910	38.76	18955	0	13543	5412	2.50
JAMYGW020000014.1	598471	25396	42.43	12698	0	8661	4037	2.15
JAMYGW020000015.1	247525	788	3.18	394	0	195	199	0.98
JAMYGW020000016.1	181804	5404	29.72	2702	0	1205	1497	0.80
JAMYGW020000017.1	110609	2068	18.70	1034	0	825	209	3.95
JAMYGW020000018.1	108319	3640	33.60	1820	0	1339	481	2.78
JAMYGW020000019.1	107902	5400	50.05	2700	0	1850	850	2.18
JAMYGW020000020.1	76272	3314	43.45	1657	0	1186	471	2.52
JAMYGW020000021.1	59972	1984	33.08	992	0	676	316	2.14
JAMYGW020000022.1	56404	1992	35.32	996	0	772	224	3.45
JAMYGW020000023.1	41267	2	0.05	1	0	1	0	0
JAMYGW020000024.1	39164	20	0.51	10	0	7	3	2.33
JAMYGW020000025.1	34497	1194	34.61	597	0	386	211	1.83
JAMYGW020000026.1	29541	1306	44.21	653	0	448	205	2.19
JAMYGW020000027.1	29083	70	2.41	35	0	29	6	4.83
JAMYGW020000028.1	28863	74	2.56	37	0	28	9	3.11
JAMYGW020000029.1	28585	938	32.81	469	0	338	131	2.58
JAMYGW020000030.1	27270	664	24.35	332	0	242	90	2.69
JAMYGW020000031.1	23648	740	31.29	370	0	268	102	2.63
JAMYGW020000032.1	22844	1058	46.31	529	0	369	160	2.31
JAMYGW020000033.1	19788	48	2.43	24	0	8	16	0.50
JAMYGW020000034.1	17613	52	2.95	26	0	18	8	2.25
JAMYGW020000035.1	17457	534	30.59	267	0	183	84	2.18
JAMYGW020000036.1	17245	1058	61.35	529	0	353	176	2.01
JAMYGW020000037.1	15777	12	0.76	6	0	2	4	0.50
MT	83434	3734	44.75	1867	0	838	1029	0.81
Totals	31188520	1048004	33.60	524002	0	378989	145013	2.61
