Chromosome	Length	Total Variants	VarPerKb	SNP	INDEL	Ts	Tv	Ts/Tv
SCAF_1	5574741	0	0.00	0	0	0	0	0
SCAF_10	1570817	0	0.00	0	0	0	0	0
SCAF_100	41993	88	2.10	0	44	0	0	0
SCAF_101	41585	366	8.80	0	183	0	0	0
SCAF_102	41267	0	0.00	0	0	0	0	0
SCAF_103	41164	126	3.06	0	63	0	0	0
SCAF_104	40984	142	3.46	0	71	0	0	0
SCAF_105	40971	74	1.81	0	37	0	0	0
SCAF_106	40689	178	4.37	0	89	1	0	0
SCAF_107	40038	82	2.05	0	41	0	0	0
SCAF_108	39998	130	3.25	0	65	0	0	0
SCAF_109	39904	72	1.80	0	36	0	0	0
SCAF_11	1437752	5200	3.62	0	2600	5	3	1.67
SCAF_110	39605	266	6.72	0	133	1	0	0
SCAF_111	39279	158	4.02	0	79	0	0	0
SCAF_112	39164	0	0.00	0	0	0	0	0
SCAF_113	39049	270	6.91	0	135	0	0	0
SCAF_114	38983	148	3.80	0	74	0	0	0
SCAF_115	38824	188	4.84	0	94	1	0	0
SCAF_116	37823	52	1.37	0	26	0	0	0
SCAF_117	37728	2	0.05	0	1	0	0	0
SCAF_118	37705	258	6.84	0	129	0	1	0.00
SCAF_119	37514	202	5.38	0	101	0	0	0
SCAF_12	978195	4574	4.68	0	2287	9	3	3.00
SCAF_120	37456	2	0.05	0	1	0	0	0
SCAF_121	37441	0	0.00	0	0	0	0	0
SCAF_122	37347	36	0.96	0	18	0	0	0
SCAF_123	37222	128	3.44	0	64	0	0	0
SCAF_124	36961	8	0.22	0	4	0	0	0
SCAF_125	36710	180	4.90	0	90	0	0	0
SCAF_126	36614	22	0.60	0	11	0	0	0
SCAF_127	36584	332	9.08	0	166	0	1	0.00
SCAF_128	36068	340	9.43	0	170	0	0	0
SCAF_129	35972	336	9.34	0	168	1	0	0
SCAF_13	598471	392	0.66	0	196	2	0	0
SCAF_130	35925	250	6.96	0	125	0	1	0.00
SCAF_131	35704	66	1.85	0	33	0	0	0
SCAF_132	35264	166	4.71	0	83	0	0	0
SCAF_133	35121	0	0.00	0	0	0	0	0
SCAF_134	35117	52	1.48	0	26	0	0	0
SCAF_135	34903	58	1.66	0	29	0	0	0
SCAF_136	34900	0	0.00	0	0	0	0	0
SCAF_137	34765	110	3.16	0	55	0	0	0
SCAF_138	34687	430	12.40	0	215	2	0	0
SCAF_139	34615	212	6.12	0	106	0	0	0
SCAF_14	247525	42	0.17	0	21	0	0	0
SCAF_140	34599	0	0.00	0	0	0	0	0
SCAF_141	34497	20	0.58	0	10	0	0	0
SCAF_142	34440	0	0.00	0	0	0	0	0
SCAF_143	34384	88	2.56	0	44	0	0	0
SCAF_144	34330	226	6.58	0	113	0	0	0
SCAF_145	34087	178	5.22	0	89	1	0	0
SCAF_146	33692	138	4.10	0	69	0	0	0
SCAF_147	33483	0	0.00	0	0	0	0	0
SCAF_148	33469	38	1.14	0	19	0	0	0
SCAF_149	33420	0	0.00	0	0	0	0	0
SCAF_15	224905	1054	4.69	0	527	1	2	0.50
SCAF_150	33347	36	1.08	0	18	0	0	0
SCAF_151	33283	260	7.81	0	130	1	0	0
SCAF_152	33266	40	1.20	0	20	0	0	0
SCAF_153	33237	90	2.71	0	45	0	0	0
SCAF_154	33139	38	1.15	0	19	0	0	0
SCAF_155	33127	2	0.06	0	1	0	0	0
SCAF_156	32748	278	8.49	0	139	0	0	0
SCAF_157	32666	388	11.88	0	194	0	1	0.00
SCAF_158	32618	60	1.84	0	30	0	0	0
SCAF_159	32358	46	1.42	0	23	0	0	0
SCAF_16	181804	812	4.47	0	406	1	2	0.50
SCAF_160	32136	154	4.79	0	77	0	0	0
SCAF_161	32035	152	4.74	0	76	0	0	0
SCAF_162	31954	198	6.20	0	99	0	0	0
SCAF_163	31782	180	5.66	0	90	0	0	0
SCAF_164	31669	30	0.95	0	15	0	0	0
SCAF_165	31629	184	5.82	0	92	0	0	0
SCAF_166	31581	52	1.65	0	26	0	0	0
SCAF_167	31556	136	4.31	0	68	1	0	0
SCAF_168	31421	282	8.97	0	141	0	0	0
SCAF_169	31314	46	1.47	0	23	0	0	0
SCAF_17	176395	1120	6.35	0	560	0	0	0
SCAF_170	31127	60	1.93	0	30	0	0	0
SCAF_171	31061	0	0.00	0	0	0	0	0
SCAF_172	31059	98	3.16	0	49	0	0	0
SCAF_173	30866	78	2.53	0	39	0	0	0
SCAF_174	30739	0	0.00	0	0	0	0	0
SCAF_175	30330	102	3.36	0	51	0	0	0
SCAF_176	30301	134	4.42	0	67	0	0	0
SCAF_177	30226	16	0.53	0	8	0	0	0
SCAF_178	30187	60	1.99	0	30	0	1	0.00
SCAF_179	30183	182	6.03	0	91	0	0	0
SCAF_18	160122	732	4.57	0	366	1	1	1.00
SCAF_180	30131	116	3.85	0	58	0	0	0
SCAF_181	30071	156	5.19	0	78	0	0	0
SCAF_182	30032	184	6.13	0	92	0	0	0
