Chromosome	Length	Total Variants	VarPerKb	SNP	INDEL	Ts	Tv	Ts/Tv
SCAF_1	5574741	0	0.00	0	0	0	0	0
SCAF_10	1570817	0	0.00	0	0	0	0	0
SCAF_100	41993	1798	42.82	899	0	565	334	1.69
SCAF_101	41585	1428	34.34	714	0	460	254	1.81
SCAF_102	41267	0	0.00	0	0	0	0	0
SCAF_103	41164	1822	44.26	911	0	525	386	1.36
SCAF_104	40984	1648	40.21	824	0	372	452	0.82
SCAF_105	40971	812	19.82	406	0	318	88	3.61
SCAF_106	40689	1330	32.69	665	0	465	200	2.33
SCAF_107	40038	1056	26.37	528	0	398	130	3.06
SCAF_108	39998	1152	28.80	576	0	410	166	2.47
SCAF_109	39904	1662	41.65	831	0	577	254	2.27
SCAF_11	1437752	45632	31.74	22816	0	16617	6199	2.68
SCAF_110	39605	1224	30.91	612	0	482	130	3.71
SCAF_111	39279	1524	38.80	762	0	437	325	1.34
SCAF_112	39164	30	0.77	15	0	12	3	4.00
SCAF_113	39049	1506	38.57	753	0	357	396	0.90
SCAF_114	38983	1436	36.84	718	0	488	230	2.12
SCAF_115	38824	1094	28.18	547	0	444	103	4.31
SCAF_116	37823	1018	26.91	509	0	375	134	2.80
SCAF_117	37728	2	0.05	1	0	1	0	0
SCAF_118	37705	1114	29.55	557	0	380	177	2.15
SCAF_119	37514	1060	28.26	530	0	379	151	2.51
SCAF_12	978195	32270	32.99	16135	0	11657	4478	2.60
SCAF_120	37456	30	0.80	15	0	7	8	0.88
SCAF_121	37441	6	0.16	3	0	0	3	0.00
SCAF_122	37347	1080	28.92	540	0	425	115	3.70
SCAF_123	37222	1826	49.06	913	0	278	635	0.44
SCAF_124	36961	852	23.05	426	0	306	120	2.55
SCAF_125	36710	1670	45.49	835	0	377	458	0.82
SCAF_126	36614	1370	37.42	685	0	410	275	1.49
SCAF_127	36584	1010	27.61	505	0	360	145	2.48
SCAF_128	36068	1390	38.54	695	0	479	216	2.22
SCAF_129	35972	1102	30.63	551	0	413	138	2.99
SCAF_13	598471	23022	38.47	11511	0	7936	3575	2.22
SCAF_130	35925	1118	31.12	559	0	400	159	2.52
SCAF_131	35704	1346	37.70	673	0	388	285	1.36
SCAF_132	35264	1332	37.77	666	0	474	192	2.47
SCAF_133	35121	28	0.80	14	0	9	5	1.80
SCAF_134	35117	1040	29.62	520	0	369	151	2.44
SCAF_135	34903	1744	49.97	872	0	312	560	0.56
SCAF_136	34900	36	1.03	18	0	8	10	0.80
SCAF_137	34765	1544	44.41	772	0	348	424	0.82
SCAF_138	34687	1652	47.63	826	0	521	305	1.71
SCAF_139	34615	1060	30.62	530	0	371	159	2.33
SCAF_14	247525	606	2.45	303	0	145	158	0.92
SCAF_140	34599	8	0.23	4	0	1	3	0.33
SCAF_141	34497	854	24.76	427	0	271	156	1.74
SCAF_142	34440	0	0.00	0	0	0	0	0
SCAF_143	34384	1546	44.96	773	0	264	509	0.52
SCAF_144	34330	1494	43.52	747	0	337	410	0.82
SCAF_145	34087	1218	35.73	609	0	442	167	2.65
SCAF_146	33692	894	26.53	447	0	305	142	2.15
SCAF_147	33483	4	0.12	2	0	2	0	0
SCAF_148	33469	978	29.22	489	0	341	148	2.30
SCAF_149	33420	0	0.00	0	0	0	0	0
SCAF_15	224905	5948	26.45	2974	0	2136	838	2.55
SCAF_150	33347	1316	39.46	658	0	479	179	2.68
SCAF_151	33283	1344	40.38	672	0	415	257	1.61
SCAF_152	33266	1512	45.45	756	0	242	514	0.47
SCAF_153	33237	1616	48.62	808	0	446	362	1.23
SCAF_154	33139	1380	41.64	690	0	483	207	2.33
SCAF_155	33127	0	0.00	0	0	0	0	0
SCAF_156	32748	1626	49.65	813	0	489	324	1.51
SCAF_157	32666	1028	31.47	514	0	288	226	1.27
SCAF_158	32618	1458	44.70	729	0	388	341	1.14
SCAF_159	32358	1316	40.67	658	0	377	281	1.34
SCAF_16	181804	5150	28.33	2575	0	1113	1462	0.76
SCAF_160	32136	1408	43.81	704	0	313	391	0.80
SCAF_161	32035	1174	36.65	587	0	275	312	0.88
SCAF_162	31954	1064	33.30	532	0	394	138	2.86
SCAF_163	31782	1218	38.32	609	0	323	286	1.13
SCAF_164	31669	1576	49.76	788	0	259	529	0.49
SCAF_165	31629	1236	39.08	618	0	454	164	2.77
SCAF_166	31581	1222	38.69	611	0	380	231	1.65
SCAF_167	31556	1354	42.91	677	0	419	258	1.62
SCAF_168	31421	1284	40.86	642	0	287	355	0.81
SCAF_169	31314	1438	45.92	719	0	172	547	0.31
SCAF_17	176395	7056	40.00	3528	0	2556	972	2.63
SCAF_170	31127	1426	45.81	713	0	448	265	1.69
SCAF_171	31061	4	0.13	2	0	1	1	1.00
SCAF_172	31059	1042	33.55	521	0	295	226	1.31
SCAF_173	30866	1230	39.85	615	0	379	236	1.61
SCAF_174	30739	20	0.65	10	0	4	6	0.67
SCAF_175	30330	1140	37.59	570	0	444	126	3.52
