Chromosome	Length	Total Variants	VarPerKb	SNP	INDEL	Ts	Tv	Ts/Tv
JAMYGW020000001.1	4079479	979920	240.21	0	489960	57271	41974	1.36
JAMYGW020000002.1	3666439	895796	244.32	0	447898	53853	35885	1.50
JAMYGW020000003.1	3171977	738080	232.69	0	369040	44485	28859	1.54
JAMYGW020000004.1	2601389	610636	234.73	0	305318	35099	25859	1.36
JAMYGW020000005.1	2402664	539268	224.45	0	269634	31356	20338	1.54
JAMYGW020000006.1	2032088	466560	229.60	0	233280	25349	17751	1.43
JAMYGW020000007.1	1976889	402640	203.67	0	201320	21042	15568	1.35
JAMYGW020000008.1	1932263	375218	194.19	0	187609	19654	13849	1.42
JAMYGW020000009.1	1669080	325446	194.99	0	162723	17341	11836	1.47
JAMYGW020000010.1	1646134	314302	190.93	0	157151	15911	11601	1.37
JAMYGW020000011.1	1570817	293078	186.58	0	146539	14562	10736	1.36
JAMYGW020000012.1	1437752	297046	206.60	0	148523	14756	11249	1.31
JAMYGW020000013.1	978195	184822	188.94	0	92411	9042	6448	1.40
JAMYGW020000014.1	598471	57708	96.43	0	28854	1833	1128	1.62
JAMYGW020000015.1	247525	2088	8.44	0	1044	10	27	0.37
JAMYGW020000016.1	181804	13140	72.28	0	6570	197	263	0.75
JAMYGW020000017.1	110609	19704	178.14	0	9852	1324	450	2.94
JAMYGW020000018.1	108319	21098	194.78	0	10549	1149	672	1.71
JAMYGW020000019.1	107902	10940	101.39	0	5470	316	160	1.98
JAMYGW020000020.1	76272	5484	71.90	0	2742	175	83	2.11
JAMYGW020000021.1	59972	3508	58.49	0	1754	62	28	2.21
JAMYGW020000022.1	56404	2716	48.15	0	1358	110	44	2.50
JAMYGW020000023.1	41267	84	2.04	0	42	3	1	3.00
JAMYGW020000024.1	39164	66	1.69	0	33	1	0	0
JAMYGW020000025.1	34497	3568	103.43	0	1784	132	74	1.78
JAMYGW020000026.1	29541	2652	89.77	0	1326	82	42	1.95
JAMYGW020000027.1	29083	276	9.49	0	138	2	3	0.67
JAMYGW020000028.1	28863	734	25.43	0	367	12	8	1.50
JAMYGW020000029.1	28585	2260	79.06	0	1130	79	43	1.84
JAMYGW020000030.1	27270	4064	149.03	0	2032	254	193	1.32
JAMYGW020000031.1	23648	1710	72.31	0	855	44	22	2.00
JAMYGW020000032.1	22844	1702	74.51	0	851	41	24	1.71
JAMYGW020000033.1	19788	90	4.55	0	45	0	1	0.00
JAMYGW020000034.1	17613	256	14.53	0	128	3	5	0.60
JAMYGW020000035.1	17457	1646	94.29	0	823	59	46	1.28
JAMYGW020000036.1	17245	2172	125.95	0	1086	61	34	1.79
JAMYGW020000037.1	15777	84	5.32	0	42	1	0	0
MT	83434	4018	48.16	0	2009	39	70	0.56
Totals	31188520	6584580	211.12	0	3292290	365710	255374	1.43
