Chromosome	Length	Total Variants	VarPerKb	SNP	INDEL	Ts	Tv	Ts/Tv
SCAF_1	5574741	0	0.00	0	0	0	0	0
SCAF_10	1570817	0	0.00	0	0	0	0	0
SCAF_100	41993	1374	32.72	687	0	447	240	1.86
SCAF_101	41585	2128	51.17	1064	0	712	352	2.02
SCAF_102	41267	0	0.00	0	0	0	0	0
SCAF_103	41164	1920	46.64	960	0	502	458	1.10
SCAF_104	40984	1436	35.04	718	0	251	467	0.54
SCAF_105	40971	1124	27.43	562	0	416	146	2.85
SCAF_106	40689	1938	47.63	969	0	620	349	1.78
SCAF_107	40038	1082	27.02	541	0	401	140	2.86
SCAF_108	39998	894	22.35	447	0	285	162	1.76
SCAF_109	39904	2088	52.33	1044	0	829	215	3.86
SCAF_11	1437752	80440	55.95	40220	0	28529	11691	2.44
SCAF_110	39605	1726	43.58	863	0	653	210	3.11
SCAF_111	39279	1570	39.97	785	0	316	469	0.67
SCAF_112	39164	4	0.10	2	0	2	0	0
SCAF_113	39049	1672	42.82	836	0	285	551	0.52
SCAF_114	38983	1878	48.17	939	0	653	286	2.28
SCAF_115	38824	1042	26.84	521	0	426	95	4.48
SCAF_116	37823	1052	27.81	526	0	388	138	2.81
SCAF_117	37728	30	0.80	15	0	8	7	1.14
SCAF_118	37705	1654	43.87	827	0	532	295	1.80
SCAF_119	37514	1632	43.50	816	0	538	278	1.94
SCAF_12	978195	52976	54.16	26488	0	18629	7859	2.37
SCAF_120	37456	36	0.96	18	0	3	15	0.20
SCAF_121	37441	2	0.05	1	0	0	1	0.00
SCAF_122	37347	1014	27.15	507	0	385	122	3.16
SCAF_123	37222	1204	32.35	602	0	137	465	0.29
SCAF_124	36961	476	12.88	238	0	188	50	3.76
SCAF_125	36710	1280	34.87	640	0	214	426	0.50
SCAF_126	36614	1276	34.85	638	0	447	191	2.34
SCAF_127	36584	1666	45.54	833	0	567	266	2.13
SCAF_128	36068	1866	51.74	933	0	599	334	1.79
SCAF_129	35972	1816	50.48	908	0	638	270	2.36
SCAF_13	598471	27836	46.51	13918	0	9438	4480	2.11
SCAF_130	35925	1768	49.21	884	0	586	298	1.97
SCAF_131	35704	320	8.96	160	0	96	64	1.50
SCAF_132	35264	1910	54.16	955	0	674	281	2.40
SCAF_133	35121	16	0.46	8	0	6	2	3.00
SCAF_134	35117	1172	33.37	586	0	390	196	1.99
SCAF_135	34903	1130	32.38	565	0	117	448	0.26
SCAF_136	34900	26	0.74	13	0	4	9	0.44
SCAF_137	34765	1106	31.81	553	0	191	362	0.53
SCAF_138	34687	1248	35.98	624	0	391	233	1.68
SCAF_139	34615	1650	47.67	825	0	536	289	1.85
SCAF_14	247525	500	2.02	250	0	129	121	1.07
SCAF_140	34599	8	0.23	4	0	2	2	1.00
SCAF_141	34497	576	16.70	288	0	195	93	2.10
SCAF_142	34440	24	0.70	12	0	4	8	0.50
SCAF_143	34384	1132	32.92	566	0	128	438	0.29
SCAF_144	34330	1132	32.97	566	0	197	369	0.53
SCAF_145	34087	1196	35.09	598	0	386	212	1.82
SCAF_146	33692	1324	39.30	662	0	431	231	1.87
SCAF_147	33483	38	1.13	19	0	11	8	1.38
SCAF_148	33469	1194	35.67	597	0	450	147	3.06
SCAF_149	33420	6	0.18	3	0	0	3	0.00
SCAF_15	224905	8586	38.18	4293	0	2951	1342	2.20
SCAF_150	33347	1146	34.37	573	0	412	161	2.56
SCAF_151	33283	1090	32.75	545	0	342	203	1.68
SCAF_152	33266	820	24.65	410	0	58	352	0.16
SCAF_153	33237	1320	39.71	660	0	402	258	1.56
SCAF_154	33139	1462	44.12	731	0	536	195	2.75
SCAF_155	33127	0	0.00	0	0	0	0	0
SCAF_156	32748	1252	38.23	626	0	379	247	1.53
SCAF_157	32666	1004	30.74	502	0	285	217	1.31
SCAF_158	32618	388	11.90	194	0	103	91	1.13
SCAF_159	32358	108	3.34	54	0	35	19	1.84
SCAF_16	181804	3956	21.76	1978	0	932	1046	0.89
SCAF_160	32136	1212	37.71	606	0	205	401	0.51
SCAF_161	32035	1298	40.52	649	0	211	438	0.48
SCAF_162	31954	984	30.79	492	0	378	114	3.32
SCAF_163	31782	1084	34.11	542	0	189	353	0.54
SCAF_164	31669	700	22.10	350	0	89	261	0.34
SCAF_165	31629	1816	57.42	908	0	642	266	2.41
SCAF_166	31581	146	4.62	73	0	46	27	1.70
SCAF_167	31556	1424	45.13	712	0	463	249	1.86
SCAF_168	31421	1372	43.67	686	0	237	449	0.53
SCAF_169	31314	1174	37.49	587	0	107	480	0.22
SCAF_17	176395	10014	56.77	5007	0	3418	1589	2.15
SCAF_170	31127	1040	33.41	520	0	296	224	1.32
SCAF_171	31061	4	0.13	2	0	0	2	0.00
SCAF_172	31059	126	4.06	63	0	31	32	0.97
SCAF_173	30866	1316	42.64	658	0	440	218	2.02
SCAF_174	30739	10	0.33	5	0	1	4	0.25
SCAF_175	30330	852	28.09	426	0	326	100	3.26
