Chromosome	Length	Total Variants	VarPerKb	SNP	INDEL	Ts	Tv	Ts/Tv
JAMYGW020000001.1	4079479	951836	233.32	0	475918	54906	40596	1.35
JAMYGW020000002.1	3666439	865366	236.02	0	432683	51481	34593	1.49
JAMYGW020000003.1	3171977	709784	223.77	0	354892	42240	27692	1.53
JAMYGW020000004.1	2601389	591428	227.35	0	295714	33634	24917	1.35
JAMYGW020000005.1	2402664	520886	216.80	0	260443	29934	19591	1.53
JAMYGW020000006.1	2032088	451200	222.04	0	225600	24132	17084	1.41
JAMYGW020000007.1	1976889	388806	196.68	0	194403	20016	14925	1.34
JAMYGW020000008.1	1932263	359128	185.86	0	179564	18514	13161	1.41
JAMYGW020000009.1	1669080	311006	186.33	0	155503	16251	11215	1.45
JAMYGW020000010.1	1646134	301452	183.13	0	150726	14963	11002	1.36
JAMYGW020000011.1	1570817	279860	178.16	0	139930	13641	10198	1.34
JAMYGW020000012.1	1437752	285800	198.78	0	142900	13967	10714	1.30
JAMYGW020000013.1	978195	178252	182.23	0	89126	8550	6170	1.39
JAMYGW020000014.1	598471	55816	93.26	0	27908	1717	1076	1.60
JAMYGW020000015.1	247525	1478	5.97	0	739	9	10	0.90
JAMYGW020000016.1	181804	9704	53.38	0	4852	137	184	0.74
JAMYGW020000017.1	110609	18612	168.27	0	9306	1268	431	2.94
JAMYGW020000018.1	108319	20460	188.89	0	10230	1084	650	1.67
JAMYGW020000019.1	107902	10224	94.75	0	5112	289	147	1.97
JAMYGW020000020.1	76272	5166	67.73	0	2583	154	79	1.95
JAMYGW020000021.1	59972	3254	54.26	0	1627	56	26	2.15
JAMYGW020000022.1	56404	2508	44.46	0	1254	96	33	2.91
JAMYGW020000023.1	41267	68	1.65	0	34	2	1	2.00
JAMYGW020000024.1	39164	60	1.53	0	30	1	0	0
JAMYGW020000025.1	34497	3326	96.41	0	1663	118	68	1.74
JAMYGW020000026.1	29541	2568	86.93	0	1284	77	39	1.97
JAMYGW020000027.1	29083	242	8.32	0	121	2	3	0.67
JAMYGW020000028.1	28863	654	22.66	0	327	11	4	2.75
JAMYGW020000029.1	28585	2160	75.56	0	1080	70	43	1.63
JAMYGW020000030.1	27270	3494	128.13	0	1747	203	157	1.29
JAMYGW020000031.1	23648	1624	68.67	0	812	39	19	2.05
JAMYGW020000032.1	22844	1626	71.18	0	813	38	21	1.81
JAMYGW020000033.1	19788	88	4.45	0	44	0	1	0.00
JAMYGW020000034.1	17613	220	12.49	0	110	3	4	0.75
JAMYGW020000035.1	17457	1378	78.94	0	689	43	36	1.19
JAMYGW020000036.1	17245	2124	123.17	0	1062	57	34	1.68
JAMYGW020000037.1	15777	74	4.69	0	37	1	0	0
MT	83434	3008	36.05	0	1504	25	44	0.57
Totals	31188520	6344740	203.43	0	3172370	347729	244968	1.42
