Chromosome	Length	Total Variants	VarPerKb	SNP	INDEL	Ts	Tv	Ts/Tv
SCAF_1	5574741	0	0.00	0	0	0	0	0
SCAF_10	1570817	0	0.00	0	0	0	0	0
SCAF_100	41993	840	20.00	0	420	14	11	1.27
SCAF_101	41585	2706	65.07	0	1353	90	55	1.64
SCAF_102	41267	32	0.78	0	16	0	0	0
SCAF_103	41164	1106	26.87	0	553	12	21	0.57
SCAF_104	40984	2078	50.70	0	1039	17	61	0.28
SCAF_105	40971	938	22.89	0	469	23	13	1.77
SCAF_106	40689	2586	63.56	0	1293	74	69	1.07
SCAF_107	40038	834	20.83	0	417	24	21	1.14
SCAF_108	39998	1092	27.30	0	546	13	19	0.68
SCAF_109	39904	924	23.16	0	462	8	13	0.62
SCAF_11	1437752	178736	124.32	0	89368	6197	4668	1.33
SCAF_110	39605	1200	30.30	0	600	42	34	1.24
SCAF_111	39279	2570	65.43	0	1285	36	60	0.60
SCAF_112	39164	20	0.51	0	10	0	0	0
SCAF_113	39049	2684	68.73	0	1342	37	69	0.54
SCAF_114	38983	1108	28.42	0	554	17	17	1.00
SCAF_115	38824	3812	98.19	0	1906	178	54	3.30
SCAF_116	37823	704	18.61	0	352	7	4	1.75
SCAF_117	37728	142	3.76	0	71	1	1	1.00
SCAF_118	37705	2262	59.99	0	1131	65	57	1.14
SCAF_119	37514	2082	55.50	0	1041	50	51	0.98
SCAF_12	978195	106866	109.25	0	53433	3663	2599	1.41
SCAF_120	37456	82	2.19	0	41	0	1	0.00
SCAF_121	37441	60	1.60	0	30	0	1	0.00
SCAF_122	37347	1584	42.41	0	792	25	7	3.57
SCAF_123	37222	1866	50.13	0	933	17	47	0.36
SCAF_124	36961	784	21.21	0	392	21	6	3.50
SCAF_125	36710	1910	52.03	0	955	26	51	0.51
SCAF_126	36614	860	23.49	0	430	9	9	1.00
SCAF_127	36584	1936	52.92	0	968	43	28	1.54
SCAF_128	36068	2300	63.77	0	1150	55	68	0.81
SCAF_129	35972	2444	67.94	0	1222	94	67	1.40
SCAF_13	598471	38136	63.72	0	19068	845	523	1.62
SCAF_130	35925	2368	65.92	0	1184	66	66	1.00
SCAF_131	35704	140	3.92	0	70	0	0	0
SCAF_132	35264	1570	44.52	0	785	24	26	0.92
SCAF_133	35121	58	1.65	0	29	0	1	0.00
SCAF_134	35117	1106	31.49	0	553	26	22	1.18
SCAF_135	34903	1236	35.41	0	618	3	29	0.10
SCAF_136	34900	84	2.41	0	42	0	1	0.00
SCAF_137	34765	1576	45.33	0	788	16	38	0.42
SCAF_138	34687	3050	87.93	0	1525	34	50	0.68
SCAF_139	34615	1930	55.76	0	965	58	45	1.29
SCAF_14	247525	808	3.26	0	404	1	3	0.33
SCAF_140	34599	156	4.51	0	78	0	1	0.00
SCAF_141	34497	1754	50.85	0	877	52	41	1.27
SCAF_142	34440	106	3.08	0	53	0	2	0.00
SCAF_143	34384	1784	51.88	0	892	15	50	0.30
SCAF_144	34330	1758	51.21	0	879	19	52	0.37
SCAF_145	34087	1292	37.90	0	646	22	25	0.88
SCAF_146	33692	1648	48.91	0	824	41	43	0.95
SCAF_147	33483	50	1.49	0	25	1	1	1.00
SCAF_148	33469	624	18.64	0	312	9	5	1.80
SCAF_149	33420	54	1.62	0	27	0	0	0
SCAF_15	224905	10624	47.24	0	5312	315	257	1.23
SCAF_150	33347	644	19.31	0	322	11	5	2.20
SCAF_151	33283	2496	74.99	0	1248	42	29	1.45
SCAF_152	33266	1202	36.13	0	601	13	32	0.41
SCAF_153	33237	956	28.76	0	478	9	16	0.56
SCAF_154	33139	554	16.72	0	277	2	5	0.40
SCAF_155	33127	60	1.81	0	30	0	0	0
SCAF_156	32748	2790	85.20	0	1395	38	51	0.75
SCAF_157	32666	3086	94.47	0	1543	67	51	1.31
SCAF_158	32618	604	18.52	0	302	1	10	0.10
SCAF_159	32358	84	2.60	0	42	0	1	0.00
SCAF_16	181804	6006	33.04	0	3003	66	95	0.69
SCAF_160	32136	1564	48.67	0	782	16	45	0.36
SCAF_161	32035	1898	59.25	0	949	21	53	0.40
SCAF_162	31954	768	24.03	0	384	16	8	2.00
SCAF_163	31782	1612	50.72	0	806	10	68	0.15
SCAF_164	31669	1080	34.10	0	540	5	30	0.17
SCAF_165	31629	1990	62.92	0	995	64	60	1.07
SCAF_166	31581	312	9.88	0	156	3	4	0.75
SCAF_167	31556	1150	36.44	0	575	19	28	0.68
SCAF_168	31421	2606	82.94	0	1303	33	69	0.48
SCAF_169	31314	1666	53.20	0	833	11	41	0.27
SCAF_17	176395	10252	58.12	0	5126	302	205	1.47
SCAF_170	31127	702	22.55	0	351	4	6	0.67
SCAF_171	31061	106	3.41	0	53	0	1	0.00
SCAF_172	31059	148	4.77	0	74	0	1	0.00
SCAF_173	30866	892	28.90	0	446	12	10	1.20
SCAF_174	30739	30	0.98	0	15	0	0	0
SCAF_175	30330	640	21.10	0	320	19	5	3.80
